Study,Subject,Group,Session,Metric,Metric_value,State
SRM,078,SRM,t1,bad_all,3,before_interpolation
SRM,079,SRM,t1,bad_by_nan,0,after_interpolation
SRM,080,SRM,t1,bad_by_flat,0,after_interpolation
SRM,081,SRM,t1,bad_by_deviation,0,after_interpolation
SRM,082,SRM,t1,bad_by_hf_noise,0,after_interpolation
SRM,082,SRM,t2,bad_by_correlation,0,after_interpolation
SRM,083,SRM,t1,bad_by_SNR,0,after_interpolation
SRM,084,SRM,t1,bad_by_dropout,0,after_interpolation
SRM,084,SRM,t2,bad_by_ransac,1,after_interpolation
SRM,085,SRM,t1,bad_all,1,after_interpolation
SRM,085,SRM,t2,bad_by_nan,0,original
SRM,086,SRM,t1,bad_by_flat,0,original
SRM,087,SRM,t1,bad_by_deviation,2,original
SRM,087,SRM,t2,bad_by_hf_noise,3,original
SRM,088,SRM,t1,bad_by_correlation,4,original
SRM,089,SRM,t1,bad_by_SNR,2,original
SRM,090,SRM,t1,bad_by_dropout,0,original
SRM,091,SRM,t1,bad_by_ransac,0,original
SRM,091,SRM,t2,bad_all,5,original
SRM,092,SRM,t1,bad_by_nan,0,before_interpolation
SRM,093,SRM,t1,bad_by_flat,0,before_interpolation
SRM,094,SRM,t1,bad_by_deviation,2,before_interpolation
SRM,094,SRM,t2,bad_by_hf_noise,6,before_interpolation
SRM,095,SRM,t1,bad_by_correlation,3,before_interpolation
SRM,096,SRM,t1,bad_by_SNR,2,before_interpolation
SRM,097,SRM,t1,bad_by_dropout,0,before_interpolation
SRM,097,SRM,t2,bad_by_ransac,2,before_interpolation
SRM,098,SRM,t1,bad_all,9,before_interpolation
SRM,099,SRM,t1,bad_by_nan,0,after_interpolation
SRM,100,SRM,t1,bad_by_flat,0,after_interpolation
SRM,101,SRM,t1,bad_by_deviation,0,after_interpolation
SRM,101,SRM,t2,bad_by_hf_noise,1,after_interpolation
SRM,102,SRM,t1,bad_by_correlation,0,after_interpolation
SRM,103,SRM,t1,bad_by_SNR,0,after_interpolation
SRM,104,SRM,t1,bad_by_dropout,0,after_interpolation
SRM,104,SRM,t2,bad_by_ransac,0,after_interpolation
SRM,105,SRM,t1,bad_all,1,after_interpolation
SRM,105,SRM,t2,bad_by_nan,0,original
SRM,106,SRM,t1,bad_by_flat,0,original
SRM,106,SRM,t2,bad_by_deviation,3,original
SRM,107,SRM,t1,bad_by_hf_noise,0,original
SRM,108,SRM,t1,bad_by_correlation,4,original
SRM,109,SRM,t1,bad_by_SNR,0,original
SRM,110,SRM,t1,bad_by_dropout,0,original
SRM,110,SRM,t2,bad_by_ransac,0,original
SRM,111,SRM,t1,bad_all,7,original
SRM,001,SRM,t1,bad_by_nan,0,before_interpolation
SRM,002,SRM,t1,bad_by_flat,0,before_interpolation
SRM,002,SRM,t2,bad_by_deviation,3,before_interpolation
SRM,003,SRM,t1,bad_by_hf_noise,0,before_interpolation
SRM,003,SRM,t2,bad_by_correlation,4,before_interpolation
SRM,004,SRM,t1,bad_by_SNR,0,before_interpolation
SRM,005,SRM,t1,bad_by_dropout,0,before_interpolation
SRM,005,SRM,t2,bad_by_ransac,0,before_interpolation
SRM,006,SRM,t1,bad_all,6,before_interpolation
SRM,007,SRM,t1,bad_by_nan,0,after_interpolation
SRM,007,SRM,t2,bad_by_flat,0,after_interpolation
SRM,008,SRM,t1,bad_by_deviation,0,after_interpolation
SRM,009,SRM,t1,bad_by_hf_noise,0,after_interpolation
SRM,010,SRM,t1,bad_by_correlation,1,after_interpolation
SRM,011,SRM,t1,bad_by_SNR,0,after_interpolation
SRM,011,SRM,t2,bad_by_dropout,0,after_interpolation
SRM,012,SRM,t1,bad_by_ransac,1,after_interpolation
SRM,013,SRM,t1,bad_all,2,after_interpolation
SRM,014,SRM,t1,bad_by_nan,0,original
SRM,015,SRM,t1,bad_by_flat,0,original
SRM,016,SRM,t1,bad_by_deviation,1,original
SRM,017,SRM,t1,bad_by_hf_noise,4,original
SRM,018,SRM,t1,bad_by_correlation,13,original
SRM,019,SRM,t1,bad_by_SNR,1,original
SRM,020,SRM,t1,bad_by_dropout,0,original
SRM,020,SRM,t2,bad_by_ransac,2,original
SRM,021,SRM,t1,bad_all,18,original
SRM,021,SRM,t2,bad_by_nan,0,before_interpolation
SRM,022,SRM,t1,bad_by_flat,0,before_interpolation
SRM,023,SRM,t1,bad_by_deviation,2,before_interpolation
SRM,024,SRM,t1,bad_by_hf_noise,4,before_interpolation
SRM,025,SRM,t1,bad_by_correlation,12,before_interpolation
SRM,026,SRM,t1,bad_by_SNR,1,before_interpolation
SRM,026,SRM,t2,bad_by_dropout,0,before_interpolation
SRM,027,SRM,t1,bad_by_ransac,1,before_interpolation
SRM,027,SRM,t2,bad_all,16,before_interpolation
SRM,028,SRM,t1,bad_by_nan,0,after_interpolation
SRM,028,SRM,t2,bad_by_flat,0,after_interpolation
SRM,029,SRM,t1,bad_by_deviation,0,after_interpolation
SRM,030,SRM,t1,bad_by_hf_noise,6,after_interpolation
SRM,030,SRM,t2,bad_by_correlation,0,after_interpolation
SRM,031,SRM,t1,bad_by_SNR,0,after_interpolation
SRM,032,SRM,t1,bad_by_dropout,0,after_interpolation
SRM,032,SRM,t2,bad_by_ransac,2,after_interpolation
SRM,033,SRM,t1,bad_all,8,after_interpolation
SRM,034,SRM,t1,bad_by_nan,0,original
SRM,035,SRM,t1,bad_by_flat,0,original
